2581715329->2581715327 16.1495955-75.65352933333334,16.149547166666668-75.65423483333333,16.149534833333334-75.65382433333333
2581872949->2581715329 16.149629-75.65471833333334
2581816484->2581872949 16.14964-75.65620333333334,16.14956816666667-75.65532366666666,16.149564166666668-75.655107
2581872951->2581816484 16.1496405-75.65638116666666,16.149635-75.65677766666667,16.1495985-75.65738583333334,16.149597166666666-75.65717333333333
2581816486->2581872951 16.149671166666668-75.658834,16.149626833333333-75.65897433333333,16.149598333333333-75.65868683333333
2581816486->2581816446 16.1496825-75.6590495
2581816490->2581816486 16.149691333333333-75.65964383333333,16.149690833333334-75.65984983333334
2581816493->2581816490 16.149698-75.66148866666667
2581816477->2581816493 16.149705333333333-75.66180983333334
2581816498->2581816493 16.149709833333333-75.661972,16.1497145-75.66217983333334,16.149771833333332-75.66415083333334,16.149778166666668-75.66435166666666,16.149717166666665-75.66396733333333,16.149711-75.66336716666666,16.149708666666665-75.66317866666667
2581872987->2581872982 16.14979183333333-75.66539833333333
2581816504->2581872991 16.149812-75.66595133333334
2581816510->2581816504 16.1498025-75.66617933333333
2581816502->2581816510 16.149759833333334-75.66627933333334
2581816502->2581816473 16.14969333333333-75.66636966666667,16.14957666666667-75.66652433333333
2581816473->2581816502 16.149505666666666-75.66658783333334,16.149360666666666-75.66679266666667,16.1497475-75.66637066666667
1422071281->2581816473 16.147622833333333-75.66873533333333
1151523043->1422071281 16.145937666666665-75.66896033333333
1151523043->1422071597 16.145622-75.66861283333333
1422071281->1151523043 16.146532166666667-75.6694945
1422071281->1151522952 16.1471035-75.67034633333333,16.147303333333333-75.6702545,16.146926833333332-75.66998533333333
1151522952->1422071281 16.147078-75.67046033333334,16.147023333333333-75.670699,16.146969833333333-75.67095183333333,16.1469315-75.67109516666666,16.1468965-75.6712395,16.146842666666668-75.67147216666666,16.146810833333333-75.67160883333334,16.146763833333335-75.6717495,16.1467285-75.67190216666667,16.1466915-75.67206016666667,16.1466545-75.67219666666666,16.146633166666668-75.671368,16.146690666666668-75.671109,16.146718666666665-75.67096433333333,16.146762833333334-75.67081866666666,16.146794333333332-75.670675,16.146849-75.67041316666666,16.146897-75.67015583333334,16.146861-75.6699465,16.147314666666666-75.6701495
2307604246->1151522952 16.149830333333334-75.6718265
1151522373->2307604246 16.1517815-75.67315283333333,16.151863166666665-75.67338616666666
1151523274->2307604145 16.1566025-75.6762035
1151523274->3293467204 16.156732833333333-75.67613566666667
3663293115->3293467204 16.156652833333332-75.6759735,16.156386333333334-75.67535683333334
3293467204->3663293115 16.156608-75.675873,16.156479166666667-75.675561,16.156415-75.67540616666666
3663293114->3663293115 16.156274833333335-75.67522333333334,16.156086333333334-75.675168,16.155875666666667-75.67507516666667,16.155450166666668-75.67488216666666,16.155713-75.674975
3663293115->3663293114 16.155624666666668-75.674979,16.156246166666666-75.675188
3663293113->3663293114 16.155381333333334-75.674886,16.155128666666666-75.67477366666667,16.1549815-75.67471466666667,16.1547145-75.67457966666667,16.1545905-75.674517,16.154444333333334-75.6744615,16.154179666666668-75.67433750000001,16.1540385-75.67428783333334,16.1538975-75.67422083333334,16.153761-75.67416416666667,16.153556-75.67406183333334
3663293114->3663293113 16.155265166666666-75.67483166666666,16.154834833333332-75.67464616666666,16.153962333333332-75.67428383333333,16.154226666666666-75.67439816666666
3293467192->3663293113 16.153622666666667-75.673787,16.153749333333334-75.673604,16.153496166666667-75.67394766666666
3293467193->3293467192 16.154131333333332-75.67302666666667,16.153951-75.67327833333333
3293467192->3293467193 16.1542225-75.67295816666666
3293467204->1151523274 16.156710166666667-75.676047
1151523247->1151523274 16.157486-75.6768215
3663293112->2307604145 16.154211333333333-75.67493633333333
1151522373->3293467188 16.152851-75.67410066666666
1151522952->2307604246 16.150358833333332-75.672437,16.149999-75.67216916666666
2581816510->2581816502 16.149766666666668-75.66627066666666
2581872982->2581816498 16.149747833333333-75.66515333333334
2581816446->2581816486 16.149639166666667-75.659159
2581816484->2581872912 16.149583333333332-75.65624783333334
2581715324->2581918012 16.149520166666665-75.6505255
2581918149->2581715402 16.15184483333333-75.64452466666667
2581918224->2581918222 16.152305666666667-75.64171216666666
2581918137->2581918222 16.152298833333333-75.64161616666667
2581918212->2581918216 16.152226833333334-75.63878166666667
2581918069->2581918208 16.152188-75.63583316666667
2581918359->2581918208 16.152358333333332-75.63574183333333,16.154802833333335-75.63567633333334
2581918208->2581918359 16.152808833333335-75.63571633333333,16.152992-75.63571116666667,16.153857833333333-75.63568416666666,16.1546255-75.63568216666667
2581918359->2581918355 16.1548785-75.635498
2581918355->2581918376 16.156308-75.63272616666667
2581918376->2581918397 16.158827833333334-75.632817,16.158875-75.63323283333334,16.158882166666668-75.63363816666667
2581918390->2581918398 16.1589045-75.63521916666667,16.16017383333333-75.63559633333334
2581918398->2581918399 16.1602695-75.635987
2581918400->2581918393 16.160249-75.63856033333333
2581918399->3353758827 16.160945166666668-75.6384495
3353758858->3353758836 16.162179666666667-75.64135816666666
3353758836->3353758858 16.161894666666665-75.641359
2581918401->3353758799 16.160358166666665-75.6413945
2581918394->2581918401 16.159801166666668-75.64139133333333,16.159469166666668-75.641399,16.159324333333334-75.64140233333333
3353758775->3353758777 16.159121166666665-75.64288,16.1591105-75.64307633333334,16.159104666666668-75.6432795,16.159102-75.64348766666667
2581715954->3353758772 16.159095166666667-75.64387366666666,16.1591065-75.64430033333333
2581715957->2581715956 16.159101833333334-75.64442433333333
2581715958->2581715957 16.159101833333334-75.64479716666666
2581715959->2581715958 16.159096666666667-75.645186
2581715960->2581715959 16.1591405-75.64645966666667
2581715962->2581715961 16.159147666666666-75.64702066666666
2581715994->2581716121 16.15935066666667-75.64723966666666
2581104490->2581086023 16.165763333333334-75.64713083333334
2581086180->2581086230 16.168422-75.64705466666666,16.168649666666667-75.6470405
2581086247->2581086245 16.168932-75.64933483333333,16.168937833333334-75.64977783333333
2581086258->2581086249 16.168941833333335-75.65014883333333,16.168961-75.65187133333333,16.168958333333332-75.652083
2581086260->2581086258 16.168963-75.65247600000001
2581125790->2581086260 16.168966333333334-75.65270666666666,16.1689635-75.65290433333334
2581464350->2581125790 16.1689675-75.6531225,16.168975166666666-75.6535605
2581464353->2581464350 16.168994333333334-75.65417916666667
2581464356->2581464353 16.1689975-75.65460866666666,16.168994333333334-75.65486066666666
2581464358->2581464356 16.1689975-75.655746
2581559511->2581464358 16.169024166666667-75.65638416666667
2581559537->2581559531 16.169108666666666-75.66091716666666
2581559540->2581559537 16.1691175-75.661217
1467810199->3056344551 16.171504166666665-75.66073716666666,16.171706-75.66062166666667,16.171893166666667-75.66050616666666
1467806582->1151522603 16.1720955-75.66040616666666,16.172721666666668-75.66003016666667
1151522603->1467806582 16.1722635-75.660309
1467806582->1151522524 16.1729595-75.65991633333333
2307589010->2307587793 16.1743205-75.65850116666667
9144425191->9144425201 16.174489-75.657708,16.174528166666665-75.657506
2307620776->9144425190 16.174606166666667-75.65698333333333
9144425166->9144425182 16.174859-75.655789
9144425177->2307592980 16.175021833333332-75.65502616666667
2307592980->9144425177 16.175050166666665-75.65484916666666
9144425160->9144425161 16.175179166666666-75.654145
